,Hour,Hour_count
53915,21,9135
53916,19,4783
53917,21,9135
53918,21,9135
53919,18,3123
53920,17,1988
53921,22,8256
53922,19,4783
53923,11,850
53924,21,9135
53925,20,6859
53926,23,5744
53927,10,902
53928,23,5744
53929,19,4783
53930,12,1016
53931,21,9135
53932,17,1988
53933,2,1649
53934,23,5744
53935,2,1649
53936,1,2339
53937,16,1208
53938,22,8256
53939,23,5744
53940,20,6859
53941,20,6859
53942,1,2339
53943,19,4783
53944,22,8256
53945,20,6859
53946,3,1447
53947,5,1272
53948,20,6859
53949,19,4783
53950,17,1988
53951,16,1208
53952,16,1208
53953,4,1114
53954,23,5744
53955,19,4783
53956,22,8256
53957,13,962
53958,17,1988
53959,23,5744
53960,21,9135
53961,14,956
53962,16,1208
53963,20,6859
53964,21,9135
53965,23,5744
53966,19,4783
53967,0,2941
53968,19,4783
53969,7,690
53970,18,3123
53971,23,5744
53972,23,5744
53973,11,850
53974,23,5744
53975,23,5744
53976,23,5744
53977,23,5744
53978,17,1988
53979,0,2941
53980,22,8256
53981,23,5744
53982,23,5744
53983,13,962
53984,4,1114
53985,21,9135
53986,2,1649
53987,22,8256
53988,14,956
53989,0,2941
53990,22,8256
53991,15,1063
53992,22,8256
53993,17,1988
53994,23,5744
53995,1,2339
53996,23,5744
53997,0,2941
53998,22,8256
53999,19,4783
54000,22,8256
54001,21,9135
54002,18,3123
54003,1,2339
54004,21,9135
54005,20,6859
54006,21,9135
54007,21,9135
54008,19,4783
54009,17,1988
54010,21,9135
54011,22,8256
54012,15,1063
54013,14,956
54014,23,5744
54015,20,6859
54016,16,1208
54017,23,5744
54018,23,5744
54019,3,1447
54020,16,1208
54021,0,2941
54022,3,1447
54023,17,1988
54024,4,1114
54025,21,9135
54026,16,1208
54027,4,1114
54028,20,6859
54029,17,1988
54030,9,766
54031,23,5744
54032,21,9135
54033,10,902
54034,22,8256
54035,22,8256
54036,0,2941
54037,17,1988
54038,2,1649
54039,15,1063
54040,21,9135
54041,2,1649
54042,17,1988
54043,11,850
54044,19,4783
54045,22,8256
54046,19,4783
54047,22,8256
54048,22,8256
54049,5,1272
54050,9,766
54051,20,6859
54052,8,617
54053,21,9135
54054,21,9135
54055,21,9135
54056,22,8256
54057,18,3123
54058,22,8256
54059,18,3123
54060,22,8256
54061,23,5744
54062,20,6859
54063,22,8256
54064,3,1447
54065,8,617
54066,21,9135
54067,13,962
54068,17,1988
54069,17,1988
54070,15,1063
54071,1,2339
54072,22,8256
54073,22,8256
54074,22,8256
54075,3,1447
54076,19,4783
54077,19,4783
54078,17,1988
54079,19,4783
54080,22,8256
54081,21,9135
54082,20,6859
54083,20,6859
54084,23,5744
54085,22,8256
54086,0,2941
54087,4,1114
54088,15,1063
54089,22,8256
54090,19,4783
54091,16,1208
54092,3,1447
54093,23,5744
54094,8,617
54095,21,9135
54096,16,1208
54097,23,5744
54098,9,766
54099,18,3123
54100,22,8256
54101,18,3123
54102,23,5744
