,Shape,Shape_count
15316,circle,5890
15317,diamond,884
15318,disk,3853
15319,disk,3853
15320,fireball,4939
15321,fireball,4939
15322,fireball,4939
15323,fireball,4939
15324,fireball,4939
15325,light,12895
15326,other,4209
15327,oval,2881
15328,oval,2881
15329,sphere,4134
15330,sphere,4134
15331,sphere,4134
15332,triangle,6268
15333,triangle,6268
15334,triangle,6268
15335,oval,2881
15336,unknown,4359
15337,circle,5890
15338,formation,1908
15339,light,12895
15340,other,4209
15341,changing,1517
15342,triangle,6268
15343,cigar,1569
15344,circle,5890
15345,circle,5890
15346,formation,1908
15347,formation,1908
15348,formation,1908
15349,light,12895
15350,light,12895
15351,light,12895
15352,light,12895
15353,oval,2881
15354,sphere,4134
15355,sphere,4134
15356,sphere,4134
15357,teardrop,560
15358,triangle,6268
15359,unknown,4359
15360,unknown,4359
15361,unknown,4359
15362,unknown,4359
15363,unknown,4359
15364,unknown,4359
15365,light,12895
15366,light,12895
15367,light,12895
15368,sphere,4134
15369,unknown,4359
15370,light,12895
15371,unknown,4359
15372,unknown,4359
15373,circle,5890
15374,cone,235
15375,formation,1908
15376,light,12895
15377,triangle,6268
15378,unknown,4359
15379,circle,5890
15380,fireball,4939
15381,light,12895
15382,oval,2881
15383,oval,2881
15384,sphere,4134
15385,fireball,4939
15386,fireball,4939
15387,fireball,4939
15388,light,12895
15389,changing,1517
15390,disk,3853
15391,disk,3853
15392,light,12895
15393,other,4209
15394,triangle,6268
15395,fireball,4939
15396,light,12895
15397,disk,3853
15398,fireball,4939
15399,light,12895
15400,other,4209
15401,circle,5890
15402,circle,5890
15403,fireball,4939
15404,light,12895
15405,light,12895
15406,oval,2881
15407,unknown,4359
15408,light,12895
15409,other,4209
15410,changing,1517
15411,changing,1517
15412,changing,1517
15413,chevron,774
15414,chevron,774
15415,chevron,774
15416,cigar,1569
15417,circle,5890
15418,circle,5890
15419,circle,5890
15420,circle,5890
15421,circle,5890
15422,circle,5890
15423,circle,5890
15424,circle,5890
15425,circle,5890
15426,circle,5890
15427,circle,5890
15428,circle,5890
15429,circle,5890
15430,cylinder,977
15431,diamond,884
15432,diamond,884
15433,disk,3853
15434,disk,3853
15435,disk,3853
15436,disk,3853
15437,disk,3853
15438,egg,555
15439,fireball,4939
15440,fireball,4939
15441,fireball,4939
15442,fireball,4939
15443,fireball,4939
15444,fireball,4939
15445,fireball,4939
15446,fireball,4939
15447,fireball,4939
15448,fireball,4939
15449,fireball,4939
15450,fireball,4939
15451,fireball,4939
15452,fireball,4939
15453,fireball,4939
15454,fireball,4939
15455,fireball,4939
15456,flash,1025
15457,flash,1025
15458,flash,1025
15459,flash,1025
15460,flash,1025
15461,flash,1025
15462,formation,1908
15463,formation,1908
15464,formation,1908
15465,light,12895
15466,light,12895
15467,light,12895
15468,light,12895
15469,light,12895
15470,light,12895
15471,light,12895
15472,light,12895
15473,light,12895
15474,light,12895
15475,light,12895
15476,light,12895
15477,light,12895
15478,light,12895
15479,light,12895
15480,light,12895
15481,light,12895
15482,light,12895
15483,light,12895
15484,light,12895
15485,light,12895
15486,other,4209
15487,other,4209
15488,other,4209
15489,other,4209
15490,oval,2881
15491,oval,2881
15492,oval,2881
15493,oval,2881
15494,oval,2881
15495,oval,2881
15496,oval,2881
15497,rectangle,1010
15498,rectangle,1010
15499,rectangle,1010
15500,sphere,4134
15501,sphere,4134
15502,sphere,4134
15503,sphere,4134
15504,sphere,4134
15505,sphere,4134
15506,sphere,4134
15507,sphere,4134
15508,sphere,4134
15509,teardrop,560
15510,triangle,6268
15511,triangle,6268
15512,triangle,6268
15513,triangle,6268
15514,triangle,6268
15515,triangle,6268
15516,triangle,6268
15517,triangle,6268
15518,triangle,6268
15519,triangle,6268
15520,triangle,6268
15521,triangle,6268
15522,triangle,6268
15523,triangle,6268
15524,triangle,6268
15525,triangle,6268
15526,triangle,6268
